status,source_file,dn_no,mapped_stockist_no,detail
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72417_TC3073_08_AUG_2022.pdf,SS72417,TC3073,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72418_TC3074_09_AUG_2022.pdf,SS72418,TC3074,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72419_TC3075_08_AUG_2022.pdf,SS72419,TC3075,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72420_TC3076_08_AUG_2022.pdf,SS72420,TC3076,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72421_TC3077_08_AUG_2022.pdf,SS72421,TC3077,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72422_TC3078_08_AUG_2022.pdf,SS72422,TC3078,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72423_TC3079_08_AUG_2022.pdf,SS72423,TC3079,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72424_TC3080_10_AUG_2022.pdf,SS72424,TC3080,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72425_TC3081_10_AUG_2022.pdf,SS72425,TC3081,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72426_TC3082_10_AUG_2022.pdf,SS72426,TC3082,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72427_TC3083_10_AUG_2022.pdf,SS72427,TC3083,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72428_TC3084_10_AUG_2022.pdf,SS72428,TC3084,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72429_TC3085_10_AUG_2022.pdf,SS72429,TC3085,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72430_TC3086_10_AUG_2022.pdf,SS72430,TC3086,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72431_TC3087_10_AUG_2022.pdf,SS72431,TC3087,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72458_TC3106_19_AUG_2022.pdf,SS72458,TC3106,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72478_TC3123_27_AUG_2022.pdf,SS72478,TC3123,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72479_TC3124_27_AUG_2022.pdf,SS72479,TC3124,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72480_TC3125_27_AUG_2022.pdf,SS72480,TC3125,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72481_TC3126_27_AUG_2022.pdf,SS72481,TC3126,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72482_TC3127_27_AUG_2022.pdf,SS72482,TC3127,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72483_TC3128_27_AUG_2022.pdf,SS72483,TC3128,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72484_TC3129_27_AUG_2022.pdf,SS72484,TC3129,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72485_TC3130_27_AUG_2022.pdf,SS72485,TC3130,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72486_TC3131_27_AUG_2022.pdf,SS72486,TC3131,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72487_TC3132_27_AUG_2022.pdf,SS72487,TC3132,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72488_TC3133_27_AUG_2022.pdf,SS72488,TC3133,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72489_TC3134_27_AUG_2022.pdf,SS72489,TC3134,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72490_TC3135_27_AUG_2022.pdf,SS72490,TC3135,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72491_TC3136_27_AUG_2022.pdf,SS72491,TC3136,already correct
SKIP_SAME,D:\Stockist&Test Report\Stockist Cert\SS72492_TC3137_27_AUG_2022.pdf,SS72492,TC3137,already correct
