status,source_file,token_raw,stockist_no,dd_no,ocr_date,target_name,detail
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-1.pdf,2170-1,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-2.pdf,2170-2,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-3.pdf,2170-3,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-4.pdf,2170-4,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-5.pdf,2170-5,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-6.pdf,2170-6,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2170-7.pdf,2170-7,2170,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2172-1.pdf,2172-1,2172,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2172-2.pdf,2172-2,2172,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2172-3.pdf,2172-3,2172,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2962-3.pdf,2962-3,2962,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2962-4.pdf,2962-4,2962,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 2962-5.pdf,2962-5,2962,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 3279-1.pdf,3279-1,3279,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 3279-2.pdf,3279-2,3279,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 5550-1.pdf,5550-1,5550,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 5550-2.pdf,5550-2,5550,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 5550-3.pdf,5550-3,5550,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 5550-4.pdf,5550-4,5550,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7129-1.pdf,7129-1,7129,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7129-2.pdf,7129-2,7129,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-1.pdf,7350-1,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-2.pdf,7350-2,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-3.pdf,7350-3,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-4.pdf,7350-4,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-5.pdf,7350-5,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-6.pdf,7350-6,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 7350-7.pdf,7350-7,7350,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 911282HK-1.pdf,911282HK-1,911282HK,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 911282HK-2.pdf,911282HK-2,911282HK,,,,no reverse mapping
SKIP_NO_DN,D:\Stockist&Test Report\Stockist Cert\Stockist cert & mill cert of 911282HK-3.pdf,911282HK-3,911282HK,,,,no reverse mapping
