With IAT Report Folder Name	IAT Formal Folder Name (Matched Relative Path)	Exists In IAT Formal (Y/N)
CG1037	CG1037	Y
CG1038	CG1038	Y
CG1087	CG1087	Y
CG1088	CG1088	Y
CG1089	CG1089	Y
CG1090	CG1090	Y
CG1091	CG1091	Y
CG1097	CG1097	Y
CG1098	CG1098	Y
CG1099	CG1099	Y
CG1101	CG1101	Y
CG1102	CG1102	Y
CG1105	CG1105	Y
CG1106	CG1106	Y
CG1107	CG1107	Y
CG1108	CG1108	Y
CG1109-P		N
CG1110	CG1110	Y
CG1111	CG1111	Y
CG1112-P		N
CG1113-P		N
CG1114	CG1114	Y
CG1115	CG1115	Y
CG1116	CG1116	Y
CG1117	CG1117	Y
CG1118	CG1118	Y
CG1119	CG1119	Y
CG1120	CG1120	Y
CG1121	CG1121	Y
CG1122	CG1122	Y
CG1123	CG1123	Y
CG1124	CG1124	Y
CG1125	CG1125	Y
CG1126	CG1126	Y
CG1127-P		N
CG1128	CG1128	Y
CG1129	CG1129	Y
CG1130	CG1130	Y
CG1131	CG1131	Y
CG1132	CG1132	Y
CG1133	CG1133	Y
CG1134	CG1134	Y
CG1135	CG1135	Y
CG1136	CG1136	Y
CG1142	CG1142	Y
CG1143	CG1143	Y
CG1144	CG1144	Y
CG1145	CG1145	Y
CG1146	CG1146	Y
CG1148	CG1148	Y
CG1149	CG1149	Y
CG1150	CG1150	Y
CG1151	CG1151	Y
CG1152	CG1152	Y
CG1153	CG1153	Y
CG1154	CG1154	Y
CG1155	CG1155	Y
CG1160	CG1160	Y
CG1161	CG1161	Y
CG1162	CG1162	Y
CG1163	CG1163	Y
CG1164	CG1164	Y
CG1165	CG1165	Y
CG1166	CG1166	Y
CG1167	CG1167	Y
CG1168	CG1168	Y
CH000	CH000	Y
CH0000	CH0000	Y
CH0001	CH0001	Y
CH0002	CH0002	Y
CH0003	CH0003	Y
CH0004	CH0004	Y
CH002	CH002	Y
D10TK067(A)KMQ-PG2		N
D10TK067(A)KMQ-PG3		N
D10TK067(B)KMQ-PG3		N
D10TK067(B)KMQ-PG6		N
D12SG005B2023NSQ-PG		N
D1800957-1		N
D1800957-2		N
D1801009-1		N
D1801010-1		N
D1801101-1		N
D1801102-1		N
D1900086-1		N
D1900247-1		N
D1900363-1		N
D1900364-1		N
HL0002	HL0002	Y
HL0003	HL0003	Y
HL0004	HL0004	Y
HL0005	HL0005	Y
HL0006	HL0006	Y
HL0007	HL0007	Y
HL0008	HL0008	Y
HL0009	HL0009	Y
HL0010	HL0010	Y
HL0011	HL0011	Y
HL0012	HL0012	Y
HL0013	HL0013	Y
HL0014	HL0014	Y
HL0015	HL0015	Y
HL0016	HL0016	Y
HL0017	HL0017	Y
HL0018	HL0018	Y
HL0019	HL0019	Y
HL0020	HL0020	Y
HL0021	HL0021	Y
HL0028	HL0028	Y
HL0073	HL0073	Y
HL0074	HL0074	Y
HL0075	HL0075	Y
HL0076	HL0076	Y
HL0077	HL0077	Y
HL0078	HL0078	Y
HL0079	HL0079	Y
HL0080	HL0080	Y
HL0081	HL0081	Y
HL0082	HL0082	Y
HL0083	HL0083	Y
HL0084	HL0084	Y
HL0085	HL0085	Y
HL0086	HL0086	Y
HL0087-P		N
HL0088	HL0088	Y
HL0089	HL0089	Y
HL0100	HL0100	Y
HL0106	HL0106	Y
HL0109	HL0109	Y
HL0110	HL0110	Y
HL0111	HL0111	Y
HL0112	HL0112	Y
HL0113	HL0113	Y
HL0114	HL0114	Y
HL0115	HL0115	Y
HL0116	HL0116	Y
HL0117	HL0117	Y
HL0172	HL0172	Y
HL0173	HL0173	Y
HL0174	HL0174	Y
HL0175	HL0175	Y
HL0176	HL0176	Y
HL0177	HL0177	Y
HL0178	HL0178	Y
HL0179	HL0179	Y
HL0180	HL0180	Y
HL0181	HL0181	Y
HL0182	HL0182	Y
HL0184	HL0184	Y
HL0185	HL0185	Y
HL0186	HL0186	Y
HL0187	HL0187	Y
HL0188	HL0188	Y
HL0189	HL0189	Y
HL0190	HL0190	Y
HL0191	HL0191	Y
HL0192	HL0192	Y
HL0193	HL0193	Y
HL0194	HL0194	Y
HL0195	HL0195	Y
HL0196	HL0196	Y
HL0197	HL0197	Y
HL0199	HL0199	Y
HL0200	HL0200	Y
HL0201	HL0201	Y
HL0202	HL0202	Y
HL0207	HL0207	Y
HL0208	HL0208	Y
HL0209	HL0209	Y
HL0260	HL0260	Y
HL0261	HL0261	Y
HL0262	HL0262	Y
HL0263	HL0263	Y
HL0264	HL0264	Y
HL0265	HL0265	Y
HL0266	HL0266	Y
HL0267	HL0267	Y
HL0268	HL0268	Y
HL0269	HL0269	Y
HL0270	HL0270	Y
HL0271	HL0271	Y
HL0272	HL0272	Y
HL0273	HL0273	Y
HL0274	HL0274	Y
HL0275	HL0275	Y
HL0276	HL0276	Y
HL0277	HL0277	Y
HL0278	HL0278	Y
HL0279	HL0279	Y
HL0280	HL0280	Y
HL0281	HL0281	Y
HL0282	HL0282	Y
HL0283	HL0283	Y
HL0288	HL0288	Y
HL0289	HL0289	Y
HL0290	HL0290	Y
HL0291	HL0291	Y
HL0308	HL0308	Y
HL0309	HL0309	Y
HL0310	HL0310	Y
HL0311	HL0311	Y
HL0312	HL0312	Y
HL0323	HL0323	Y
HL0324	HL0324	Y
HL0325	HL0325	Y
HL0326	HL0326	Y
HL0327	HL0327	Y
HL0328	HL0328	Y
HL0329	HL0329	Y
HL0330	HL0330	Y
HL0395	HL0395	Y
HL0396	HL0396	Y
HL0397	HL0397	Y
HL0398	HL0398	Y
HL0399	HL0399	Y
HL0400	HL0400	Y
HL0401	HL0401	Y
HL0402	HL0402	Y
HL0403	HL0403	Y
HL0404	HL0404	Y
HL0405	HL0405	Y
HL0406	HL0406	Y
HL0407	HL0407	Y
HL0408	HL0408	Y
HL0409	HL0409	Y
HL0410	HL0410	Y
HL0411	HL0411	Y
HL0412	HL0412	Y
HL0413	HL0413	Y
HL0414	HL0414	Y
HL0415	HL0415	Y
HL0416	HL0416	Y
HL0417	HL0417	Y
HL0418	HL0418	Y
HL0419	HL0419	Y
HL0427	HL0427	Y
HL0428	HL0428	Y
HL0429	HL0429	Y
HL0430	HL0430	Y
HL0431	HL0431	Y
HL0432	HL0432	Y
HL0433	HL0433	Y
HL0434	HL0434	Y
HL0435	HL0435	Y
HL0436	HL0436	Y
HL0437	HL0437	Y
HL0438	HL0438	Y
HL0439	HL0439	Y
HL0440	HL0440	Y
HL0441	HL0441	Y
HL0442	HL0442	Y
HL0443	HL0443	Y
HL0444	HL0444	Y
HL0445	HL0445	Y
HL0446	HL0446	Y
HL0447	HL0447	Y
HL0448	HL0448	Y
HL0449	HL0449	Y
HL0450	HL0450	Y
HL0451	HL0451	Y
HL0452	HL0452	Y
HL0453	HL0453	Y
HL0454	HL0454	Y
HL0455	HL0455	Y
HL0456	HL0456	Y
HL0457	HL0457	Y
HL0458	HL0458	Y
HL0459	HL0459	Y
HL0460	HL0460	Y
HL0463	HL0463	Y
HL0465	HL0465	Y
HL0466	HL0466	Y
HL0467	HL0467	Y
HL0468	HL0468	Y
HL0469	HL0469	Y
HL0470	HL0470	Y
HL0543	HL0543	Y
HL0549	HL0549	Y
HL0550	HL0550	Y
HL0551	HL0551	Y
HL0574	HL0574	Y
HL0577	HL0577	Y
HL0578	HL0578	Y
HL0579	HL0579	Y
HL0581	HL0581	Y
HL0597	HL0597	Y
HL0598	HL0598	Y
HL0599	HL0599	Y
HL0629	HL0629	Y
HL0630	HL0630	Y
HL0631	HL0631	Y
HL0632	HL0632	Y
HL0633	HL0633	Y
HL0634	HL0634	Y
HL0635	HL0635	Y
HL0636	HL0636	Y
HL0637	HL0637	Y
HL0638	HL0638	Y
HL0639	HL0639	Y
HL0640	HL0640	Y
HL0641	HL0641	Y
HL0642	HL0642	Y
HL0643	HL0643	Y
HL0644	HL0644	Y
HL0645	HL0645	Y
HL0646	HL0646	Y
HL0647	HL0647	Y
HL0648	HL0648	Y
HL0649	HL0649	Y
HL0650	HL0650	Y
HL0651	HL0651	Y
HL0652	HL0652	Y
HL0653	HL0653	Y
HL0654	HL0654	Y
HL0655	HL0655	Y
HL0656	HL0656	Y
HL0657	HL0657	Y
HL0658	HL0658	Y
HL0659	HL0659	Y
HL0660	HL0660	Y
HL0661	HL0661	Y
HL0662	HL0662	Y
HL0667	HL0667	Y
HL0668	HL0668	Y
HL0669	HL0669	Y
HL0670	HL0670	Y
HL0671	HL0671	Y
HL0672	HL0672	Y
HL0673	HL0673	Y
HL0674	HL0674	Y
HL0675	HL0675	Y
HL0676	HL0676	Y
HL0677	HL0677	Y
HL0678	HL0678	Y
HL0679	HL0679	Y
HL0730	HL0730	Y
HL0731	HL0731	Y
HL0790	HL0790	Y
HL0791	HL0791	Y
HL0792	HL0792	Y
HL0818	HL0818	Y
HL0819	HL0819	Y
HL0820	HL0820	Y
HL0821	HL0821	Y
HL0822	HL0822	Y
HL0823	HL0823	Y
HL0824	HL0824	Y
HL0825	HL0825	Y
HL0834	HL0834	Y
HL0835	HL0835	Y
HL0836	HL0836	Y
HL0837	HL0837	Y
HL0839	HL0839	Y
HL0840	HL0840	Y
HL0842	HL0842	Y
HL0843	HL0843	Y
HL0844	HL0844	Y
HL0845	HL0845	Y
HL0846	HL0846	Y
HL0847	HL0847	Y
HL0848	HL0848	Y
HL0849	HL0849	Y
HL0850	HL0850	Y
HL0851	HL0851	Y
HL0852	HL0852	Y
HL0853	HL0853	Y
HL0854	HL0854	Y
HL0855	HL0855	Y
HL0856	HL0856	Y
HL0857	HL0857	Y
HL0858	HL0858	Y
HL0859	HL0859	Y
HL0860	HL0860	Y
HL0861	HL0861	Y
HL0862	HL0862	Y
HL0863	HL0863	Y
HL0864	HL0864	Y
HL0865	HL0865	Y
HL0866	HL0866	Y
HL0867	HL0867	Y
HL0868	HL0868	Y
HL0869	HL0869	Y
HL0890	HL0890	Y
HL0891	HL0891	Y
HL0892	HL0892	Y
HL0893	HL0893	Y
HL0928	HL0928	Y
HL0929	HL0929	Y
HL0930	HL0930	Y
HL0931	HL0931	Y
HL0932	HL0932	Y
HL0933	HL0933	Y
HL0934	HL0934	Y
HL0935	HL0935	Y
HL0936	HL0936	Y
HL0937	HL0937	Y
HL0938	HL0938	Y
HL0939	HL0939	Y
